DateTime,AddedIPs,RemovedIPs
1607669495,38,40
1607670215,37,33
1607670935,38,31
1607671655,34,42
1607672375,29,44
1607673095,48,28
1607673815,27,39
1607674536,28,38
1607675255,42,45
1607675975,41,40
1607676695,36,38
1607677415,28,57
1607678136,35,54
1607678855,35,46
1607679575,40,39
1607680296,34,35
1607681015,37,44
1607681736,45,50
1607682455,34,36
1607683175,38,35
1607683895,26,32
1607684615,35,52
1607685335,32,54
1607686055,72,52
1607686775,87,37
1607687495,69,46
1607688215,35,34
1607688935,43,44
1607689655,34,35
1607690375,40,30
1607691095,36,33
1607691815,37,32
1607692536,31,51
1607693255,30,44
1607693975,45,43
1607694694,26,43
1607695415,34,37
1607696135,30,32
1607696855,33,44
1607697575,27,35
1607698295,20,24
1607699015,29,71
1607699735,38,49
1607700455,36,36
1607701176,31,33
1607701895,31,34
1607702615,21,35
1607703335,26,28
1607704055,27,25
1607704776,41,19
1607705495,40,27
1607706215,45,28
1607706934,40,41
1607707655,32,32
1607708376,24,32
1607709095,39,23
1607709815,32,21
1607710535,29,29
1607711255,18,30
1607711975,19,32
1607712695,42,34
1607713415,58,22
1607714135,64,31
1607714855,39,31
1607715575,26,35
1607716295,19,31
1607717015,28,62
1607717735,36,41
1607718454,24,25
1607719174,22,35
1607719895,24,37
1607720616,28,33
1607721335,38,26
1607722055,62,25
1607722775,46,22
1607723494,26,23
1607724215,25,22
1607724935,15,27
1607725656,22,26
1607726375,24,21
1607727095,33,31
1607727815,102,44
1607728535,66,38
1607729255,97,32
1607729975,36,39
1607730695,36,30
1607731414,66,25
1607732135,33,25
1607732855,25,26
1607733575,29,33
1607734414,20,40
1607735015,18,38
1607735615,19,25
1607736215,26,22
1607736815,16,24
1607737414,21,27
1607738015,19,54
1607738855,31,50
1607739695,26,45
1607740295,48,36
1607741014,47,37
1607741735,42,35
1607742815,29,38
1607743414,32,23
1607744134,19,32
1607744855,44,31
1607745695,31,30
1607746295,17,18
1607747015,33,39
1607747736,21,36
1607748455,22,39
1607749535,50,50
1607750134,14,29
1607750855,27,57
1607751575,27,41
1607752295,30,50
1607753015,17,39
1607753735,35,61
1607754455,39,30
1607755175,36,44
1607755894,26,35
1607756615,44,22
1607757335,21,38
1607758055,41,32
1607758775,42,32
1607759615,35,48
1607760214,27,14
1607760935,36,41
1607761655,48,39
1607762374,48,32
1607763096,58,36
1607763815,34,31
1607764535,35,33
1607765255,31,32
1607765975,26,31
1607766695,40,40
1607767415,33,32
1607768135,30,38
1607768855,36,38
1607769575,29,45
1607770295,26,37
1607771015,34,28
1607771735,45,37
1607772455,31,69
1607773175,26,72
1607773895,34,74
1607774615,35,42
1607775335,21,47
1607776055,32,38
1607776776,32,47
1607777496,36,38
1607778215,31,34
1607778935,44,33
1607779655,50,34
1607780375,50,44
1607781095,37,31
1607781815,40,36
1607782535,31,33
1607783255,42,46
1607783975,30,24
1607784695,25,33
1607785415,25,34
1607786135,35,41
1607786855,34,28
1607787575,85,31
1607788295,37,35
1607789015,36,29
1607789735,30,33
1607790455,29,30
1607791176,25,32
1607791895,36,37
1607792615,25,50
1607793335,29,38
1607794056,29,37
1607794776,36,22
1607795495,44,39
1607796215,29,47
1607796935,33,31
1607797655,21,22
1607798375,38,22
1607799095,36,36
1607799815,21,63
1607800535,27,62
1607801495,44,47
1607802215,26,33
1607802935,31,20
1607803655,22,30
1607804374,23,28
1607805094,29,27
1607805815,50,30
1607806535,42,24
1607807255,41,24
1607807975,28,45
1607808695,37,57
1607809415,30,40
1607810135,42,27
1607810855,18,29
1607811575,16,19
1607812295,32,28
1607813015,36,23
1607813735,27,56
1607814455,23,91
1607815175,39,114
1607815895,36,44
1607816615,52,37
1607817335,56,38
1607818054,49,47
1607818775,33,41
1607819496,27,21
1607820215,23,27
1607820936,24,24
1607821655,30,21
1607822375,31,41
1607823095,28,34
1607823815,21,26
1607824535,24,29
1607825255,43,26
1607825974,60,27
1607826694,44,55
1607827415,29,47
1607828135,32,47
1607829094,49,39
1607829815,30,33
1607830535,26,29
1607831255,21,54
1607831975,26,41
1607832695,16,20
1607833415,24,26
1607834135,21,22
1607834856,39,34
1607835575,38,33
1607836296,36,23
1607837015,29,23
1607837735,39,31
1607838455,39,31
1607839175,21,34
1607839895,24,27
1607840615,35,36
1607841335,24,41
1607842055,24,26
1607842775,24,29
1607843495,35,34
1607844215,28,40
1607844936,30,36
1607845655,29,36
1607846375,30,35
1607847095,27,35
1607847815,44,36
1607848534,42,51
1607849255,71,40
1607849975,33,56
1607850695,28,24
1607851416,29,35
1607852135,38,28
1607852856,39,36
1607853576,29,38
1607854295,33,33
1607855014,25,43
1607855735,32,30
1607856455,34,43
1607857175,35,29
1607857895,33,31
1607858615,26,36
1607859335,36,31
1607860055,38,38
1607860775,28,36
1607861496,41,26
1607862216,44,34
1607862936,32,25
1607863655,40,43
1607864375,31,26
1607865095,31,25
1607865815,32,44
1607866535,51,50
1607867255,45,46
1607867975,33,48
1607868694,36,49
1607869415,25,37
1607870135,53,40
1607870855,51,28
1607871575,51,41
1607872295,45,29
1607873015,44,23
1607873735,29,77
1607874455,34,30
1607875175,31,33
1607875895,32,33
1607876614,42,25
1607877335,49,27
1607878055,35,38
1607878775,49,31
1607879495,38,29
1607880215,36,31
1607880935,45,38
1607881656,26,37
1607882375,32,31
1607883095,36,32
1607883815,42,32
1607884535,65,31
1607885255,54,37
1607886215,76,37
1607886935,64,31
1607887655,62,26
1607888375,57,26
1607889095,35,36
1607889815,55,19
1607890535,49,17
1607891255,31,26
1607891975,28,44
1607892695,35,45
1607893415,40,40
1607894135,32,22
1607895095,130,56
1607895815,40,31
1607896535,35,36
1607897255,23,22
1607897974,29,23
1607898695,22,33
1607899415,19,34
1607900135,28,27
1607900855,28,27
1607901575,24,36
1607902295,21,37
1607903015,34,43
1607903735,32,47
1607904455,30,48
1607905175,37,45
1607905896,42,28
1607906615,44,22
1607907335,26,27
1607908054,20,29
1607909014,55,43
1607909736,52,34
1607910455,59,22
1607911175,47,28
1607911895,36,64
1607912615,133,56
1607913335,33,39
1607914054,42,44
1607914775,32,36
1607915495,40,43
1607916214,32,29
1607917175,52,40
1607917895,43,24
1607918615,46,20
1607919335,28,25
1607920055,36,27
1607920775,41,30
1607921495,43,44
1607922214,31,39
1607922935,35,54
1607923895,59,41
1607924615,53,50
1607925335,50,30
1607926054,35,32
1607926774,35,33
1607927495,45,40
1607928215,35,31
1607928936,114,46
1607929655,57,38
1607930375,35,43
1607931095,41,35
1607931815,52,36
1607932535,42,30
1607933255,48,49
1607933975,42,40
1607934695,38,50
1607935415,43,58
1607936135,40,48
1607936855,45,40
1607937575,42,34
1607938295,34,31
1607939015,67,38
1607939735,48,38
1607940455,34,35
1607941175,37,33
1607941897,24,27
1607942615,25,36
1607943335,46,29
1607944056,41,45
1607944775,30,27
1607945495,31,39
1607946215,47,46
1607946935,40,37
1607947655,50,35
1607948375,44,30
1607949095,35,34
1607949815,44,28
1607950535,42,40
1607951255,36,31
1607951975,41,35
1607952695,35,43
1607953415,37,47
1607954135,37,32
1607954855,33,24
1607955575,34,32
1607956295,104,32
1607957016,89,60
1607957735,64,54
1607958455,18,35
1607959175,35,36
1607959895,35,36
1607960615,34,29
1607961336,24,31
1607962055,37,40
1607962775,106,33
1607963496,121,41
1607964216,139,50
1607964935,34,38
1607965655,33,37
1607966375,37,31
1607967095,33,47
1607967815,47,31
1607968535,23,25
1607969255,29,33
1607969975,32,36
1607970695,18,36
1607971415,30,56
1607972135,19,54
1607972855,42,44
1607973575,26,59
