DateTime,AddedIPs,RemovedIPs
1607460332,10,0
1607460630,10,0
1607460928,5,0
1607463032,1,0
1607463328,1,0
1607465432,2,0
1607466927,1,0
1607467830,1,0
1607472331,0,3
1607472932,2,0
1607473830,7,0
1607474130,1,0
1607475030,1,0
1607476230,1,0
1607476529,1,0
1607477430,8,0
1607478632,1,0
1607479235,1,1
1607481033,1,0
1607481629,0,1
1607483430,3,0
1607484327,7,0
1607484631,2,0
1607484927,2,0
1607487030,1,0
1607488233,1,0
1607490630,13,0
1607490933,2,0
1607491530,0,1
1607491832,1,0
1607494530,1,1
1607494828,1,0
1607495132,1,0
1607495431,1,0
1607496332,2,0
1607497235,12,0
1607501733,1,0
1607505029,1,0
1607505630,1,0
1607506230,4,0
1607507132,2,0
1607509831,7,0
1607510129,1,0
1607510735,2,0
1607511029,0,8
1607511328,0,21
1607511634,0,1
1607511932,0,4
1607512231,0,12
1607512528,1,2
1607512830,2,7
1607513129,1,3
1607513435,16,0
1607513729,8,0
1607514032,5,0
1607514334,3,0
1607514630,3,0
1607514928,3,0
1607515832,0,1
1607517030,1,0
1607520329,1,0
1607520635,3,0
1607521532,1,0
1607524231,2,0
1607524529,5,0
1607524830,10,0
1607525430,25,0
1607525728,3,0
1607527835,1,0
1607529033,22,0
1607529328,16,0
1607529634,23,0
1607530229,27,0
1607530531,6,0
1607530831,8,0
1607531431,18,0
1607531728,4,0
1607534131,11,0
1607534729,13,0
1607535031,9,0
1607535935,2,0
1607536229,1,0
1607537429,10,0
1607537730,1,0
1607538633,2,0
1607539229,2,0
1607539536,1,0
1607540128,8,0
1607540434,3,0
1607541030,1,0
1607542231,1,0
1607542527,2,0
1607543131,2,0
1607544631,1,0
1607544930,1,0
1607545830,1,0
1607548230,3,0
1607551829,1,0
1607552134,9,0
1607552428,6,0
1607552729,7,0
1607553035,9,0
1607553328,4,0
1607553629,1,0
1607556329,1,0
1607557231,0,2
1607557535,1,1
1607558439,4,0
1607558734,4,0
1607559031,5,0
1607559334,6,0
1607559631,5,0
1607560235,4,0
1607561134,1,0
1607563530,2,0
1607563831,4,0
1607564128,2,0
1607567131,0,2
1607567436,11,0
1607568335,23,0
1607569236,1,0
1607569828,1,0
1607570129,2,0
1607570428,2,0
1607571030,3,0
1607571629,4,0
1607571930,12,0
1607573429,2,0
1607573731,1,0
1607574637,7,0
1607574928,1,0
1607575533,2,0
1607577332,2,0
1607577929,30,0
1607578233,1,0
1607578528,1,0
1607578828,1,0
1607579131,1,0
1607580629,2,0
1607581833,2,0
1607582732,1,0
1607585435,4,0
1607586332,1,0
1607588431,1,0
1607589030,3,0
1607592329,6,0
1607592631,17,0
1607592929,5,0
1607593831,1,0
1607595629,1,0
1607595929,9,0
1607596232,9,0
1607596530,2,0
1607597430,1,0
1607597728,4,0
1607598034,4,0
1607598932,1,0
1607599835,2,0
1607600429,4,0
1607600734,2,0
1607601030,1,0
1607603434,7,0
