DateTime,AddedIPs,RemovedIPs
1607575323,14,14
1607575923,31,31
1607577123,28,28
1607577723,59,59
1607578924,51,51
1607580123,33,33
1607581323,24,24
1607581924,35,35
1607582524,13,13
1607583723,14,14
1607584923,16,16
1607586123,11,11
1607586723,7,7
1607587924,15,15
1607588523,9,9
1607589724,13,13
1607590923,14,14
1607592124,19,19
1607593323,11,11
1607594523,14,14
1607595123,15,15
1607596923,31,31
1607597523,13,13
1607598123,12,12
1607598723,9,9
1607599924,6,6
1607600523,6,6
1607601724,10,10
1607602923,7,7
1607603524,5,5
1607604124,5,5
1607604723,8,8
1607605323,15,15
1607606524,8,8
1607607124,8,8
1607607724,11,11
1607608923,15,15
1607610123,20,20
1607611323,16,16
1607612523,17,17
1607613724,11,11
1607614324,9,9
1607614924,7,7
1607615523,7,7
1607616723,57,57
1607617324,10,10
1607617923,8,8
1607619123,22,22
1607619723,5,5
1607620323,13,13
1607621524,12,12
1607622123,7,7
1607623324,37,37
1607623924,17,17
1607625124,16,16
1607625723,26,26
1607626924,25,25
1607628123,13,13
1607629323,18,18
1607629923,10,10
1607631124,29,29
1607631724,16,16
1607632324,10,10
1607632923,7,7
1607634124,15,15
1607635324,19,19
1607635924,11,11
1607636524,7,7
1607637123,10,10
1607638323,20,20
1607638923,14,14
1607639524,13,13
1607640124,13,13
1607641323,24,24
1607641923,16,16
1607643124,12,12
1607643723,21,21
1607644924,48,48
1607645523,10,10
1607646123,27,27
1607646724,14,14
1607647323,10,10
1607648523,21,21
1607649724,23,23
1607650324,11,11
1607651523,30,30
1607652124,13,13
1607653324,19,19
1607654524,15,15
1607655123,26,26
1607655723,12,12
1607656923,46,46
1607657524,13,13
1607659323,25,25
1607659923,18,18
1607660524,22,22
1607661723,17,17
1607662923,54,54
1607664123,30,30
1607665323,31,31
1607666524,27,27
1607667723,27,27
1607668924,23,23
1607670123,17,17
1607671324,24,24
1607671923,12,12
1607672523,15,15
1607673723,20,20
1607674923,22,22
1607675524,9,9
1607676724,23,23
1607677323,31,31
1607677924,17,17
1607678524,7,7
1607679723,42,42
1607680323,10,10
1607681524,38,38
1607682124,7,7
1607682723,9,9
1607683923,13,13
1607684523,11,11
1607685124,11,11
1607686323,30,30
1607686923,12,12
1607687523,7,7
1607688723,38,38
1607689323,8,8
1607689924,25,25
1607690524,11,11
1607691124,12,12
1607691723,11,11
1607692924,15,15
1607694124,46,46
1607695323,23,23
1607695923,25,25
1607697123,20,20
1607697723,22,22
1607698924,29,29
1607700124,46,46
1607700724,19,19
1607701323,8,8
1607701923,11,11
1607702523,92,94
1607703723,70,68
1607704924,20,20
1607706124,24,24
1607706724,10,10
1607707323,14,14
1607707924,13,13
1607708523,23,23
1607709123,17,17
1607710923,23,23
1607712123,25,25
1607712723,15,15
1607713924,26,26
1607714523,43,43
1607715723,59,59
1607716924,90,90
1607717524,34,34
1607718724,34,34
1607719323,20,20
1607719923,20,20
1607720524,12,12
1607721724,18,18
1607722923,47,47
1607724123,21,21
1607725324,45,45
1607725924,21,21
1607727124,18,18
1607728323,11,11
1607728924,30,30
1607730124,61,61
1607731323,67,67
1607732524,74,74
1607733724,35,35
1607734324,25,25
1607735524,56,56
1607736124,8,8
1607737324,39,39
1607737924,17,17
1607738523,13,13
1607739723,37,37
1607740924,31,31
1607742124,22,22
1607742723,15,15
1607743324,18,18
1607744524,46,46
1607745123,15,15
1607745724,12,12
1607746923,31,31
1607748124,28,28
1607748723,19,19
1607749324,7,7
1607750523,26,26
1607751724,44,44
1607752324,17,17
1607752923,27,27
1607754123,30,30
1607754724,16,16
1607755324,7,7
1607755923,10,10
1607757124,21,21
1607758324,15,15
1607758924,22,23
1607759523,11,11
1607760124,22,22
1607761324,20,20
1607762524,32,32
1607763123,15,15
1607763723,11,10
1607764924,82,82
1607766723,48,49
1607767324,23,23
1607768524,24,24
1607769124,7,7
1607770324,22,22
1607770924,12,12
1607771524,17,17
1607772723,19,18
1607773323,11,11
1607773923,17,17
1607774524,13,13
1607775724,26,26
